Ticker,Old Price,Date,Type,Original Currency
CUKX.L,6556.0,2012-05-20,ETF,GBp
CUKX.L,6705.5,2012-06-10,ETF,GBp
CUKX.L,6788.0,2012-06-17,ETF,GBp
CUKX.L,6744.0,2012-06-24,ETF,GBp
CUKX.L,6962.0,2012-07-01,ETF,GBp
CUKX.L,6958.5,2012-07-08,ETF,GBp
CUKX.L,7006.5,2012-07-15,ETF,GBp
CUKX.L,6842.0,2012-07-22,ETF,GBp
CUKX.L,7044.5,2012-07-29,ETF,GBp
CUKX.L,7191.5,2012-08-05,ETF,GBp
CUKX.L,7238.0,2012-08-12,ETF,GBp
CUKX.L,7247.5,2012-08-19,ETF,GBp
CUKX.L,7158.5,2012-09-02,ETF,GBp
CUKX.L,7224.0,2012-09-09,ETF,GBp
CUKX.L,7339.0,2012-09-16,ETF,GBp
CUKX.L,7283.5,2012-09-23,ETF,GBp
CUKX.L,7259.0,2012-09-30,ETF,GBp
CUKX.L,7286.0,2012-10-07,ETF,GBp
CUKX.L,7240.0,2012-10-14,ETF,GBp
CUKX.L,7329.5,2012-10-21,ETF,GBp
CUKX.L,7909.5,2013-04-07,ETF,GBp
CUKX.L,7992.5,2013-04-14,ETF,GBp
CUKX.L,7913.0,2013-04-21,ETF,GBp
CUKX.L,8154.5,2013-04-28,ETF,GBp
CUKX.L,8385.0,2013-05-12,ETF,GBp
CUKX.L,8552.0,2013-05-19,ETF,GBp
CUKX.L,8274.5,2013-06-02,ETF,GBp
CUKX.L,8116.5,2013-06-09,ETF,GBp
CUKX.L,8042.0,2013-06-16,ETF,GBp
CUKX.L,7662.5,2013-06-23,ETF,GBp
CUKX.L,8013.5,2013-06-30,ETF,GBp
CUKX.L,8207.0,2013-07-07,ETF,GBp
CUKX.L,8371.5,2013-07-14,ETF,GBp
CUKX.L,8438.0,2013-07-21,ETF,GBp
CUKX.L,8338.0,2013-07-28,ETF,GBp
CUKX.L,8420.5,2013-08-04,ETF,GBp
CUKX.L,8382.0,2013-08-11,ETF,GBp
CUKX.L,8289.5,2013-08-18,ETF,GBp
CUKX.L,8334.0,2013-09-01,ETF,GBp
CUKX.L,8393.0,2013-09-08,ETF,GBp
CUKX.L,8528.0,2013-09-15,ETF,GBp
CUKX.L,8437.5,2013-09-22,ETF,GBp
CUKX.L,8349.5,2013-09-29,ETF,GBp
CUKX.L,8295.5,2013-10-06,ETF,GBp
CUKX.L,8393.0,2013-10-13,ETF,GBp
CUKX.L,8583.0,2013-10-20,ETF,GBp
CUKX.L,8598.0,2014-03-30,ETF,GBp
CUKX.L,8685.0,2014-04-06,ETF,GBp
CUKX.L,8570.5,2014-04-13,ETF,GBp
CUKX.L,8739.5,2014-04-27,ETF,GBp
CUKX.L,8963.5,2014-05-11,ETF,GBp
CUKX.L,8985.0,2014-05-18,ETF,GBp
CUKX.L,9028.0,2014-06-01,ETF,GBp
CUKX.L,9032.0,2014-06-08,ETF,GBp
CUKX.L,8910.5,2014-06-15,ETF,GBp
CUKX.L,8973.0,2014-06-22,ETF,GBp
CUKX.L,8919.5,2014-06-29,ETF,GBp
CUKX.L,9003.5,2014-07-06,ETF,GBp
CUKX.L,8906.0,2014-07-13,ETF,GBp
CUKX.L,8889.5,2014-07-20,ETF,GBp
CUKX.L,8971.0,2014-07-27,ETF,GBp
CUKX.L,8829.0,2014-08-03,ETF,GBp
CUKX.L,8789.5,2014-08-10,ETF,GBp
CUKX.L,8967.5,2014-08-17,ETF,GBp
CUKX.L,9078.5,2014-08-31,ETF,GBp
CUKX.L,9098.5,2014-09-07,ETF,GBp
CUKX.L,9057.5,2014-09-14,ETF,GBp
CUKX.L,9022.0,2014-09-21,ETF,GBp
CUKX.L,8853.5,2014-09-28,ETF,GBp
CUKX.L,8734.5,2014-10-05,ETF,GBp
CUKX.L,8482.0,2014-10-12,ETF,GBp
CUKX.L,8355.0,2014-10-19,ETF,GBp
CUKX.L,9323.0,2015-03-29,ETF,GBp
CUKX.L,9547.0,2015-04-12,ETF,GBp
CUKX.L,9540.0,2015-04-19,ETF,GBp
CUKX.L,9589.5,2015-04-26,ETF,GBp
CUKX.L,9519.0,2015-05-10,ETF,GBp
CUKX.L,9469.0,2015-05-17,ETF,GBp
CUKX.L,9449.0,2015-05-31,ETF,GBp
CUKX.L,9272.0,2015-06-07,ETF,GBp
CUKX.L,9152.5,2015-06-14,ETF,GBp
CUKX.L,9303.5,2015-06-21,ETF,GBp
CUKX.L,9050.0,2015-06-28,ETF,GBp
CUKX.L,8895.0,2015-07-05,ETF,GBp
CUKX.L,9221.0,2015-07-12,ETF,GBp
CUKX.L,9226.0,2015-07-19,ETF,GBp
CUKX.L,8908.0,2015-07-26,ETF,GBp
CUKX.L,9144.0,2015-08-02,ETF,GBp
CUKX.L,9212.5,2015-08-09,ETF,GBp
CUKX.L,9025.0,2015-08-16,ETF,GBp
CUKX.L,8089.0,2015-08-23,ETF,GBp
CUKX.L,8381.5,2015-09-06,ETF,GBp
CUKX.L,8415.0,2015-09-13,ETF,GBp
CUKX.L,8436.5,2015-09-20,ETF,GBp
CUKX.L,8232.0,2015-09-27,ETF,GBp
CUKX.L,8675.0,2015-10-04,ETF,GBp
CUKX.L,8793.0,2015-10-11,ETF,GBp
CUKX.L,8758.0,2015-10-18,ETF,GBp
CUKX.L,8627.0,2016-04-03,ETF,GBp
CUKX.L,8702.0,2016-04-10,ETF,GBp
CUKX.L,8905.5,2016-04-17,ETF,GBp
CUKX.L,8775.5,2016-04-24,ETF,GBp
CUKX.L,8594.0,2016-05-08,ETF,GBp
CUKX.L,8665.5,2016-05-15,ETF,GBp
CUKX.L,8677.5,2016-05-22,ETF,GBp
CUKX.L,8873.5,2016-06-05,ETF,GBp
CUKX.L,8567.5,2016-06-12,ETF,GBp
CUKX.L,8790.5,2016-06-19,ETF,GBp
CUKX.L,8475.5,2016-06-26,ETF,GBp
CUKX.L,9247.0,2016-07-03,ETF,GBp
CUKX.L,9471.0,2016-07-10,ETF,GBp
CUKX.L,9490.5,2016-07-17,ETF,GBp
CUKX.L,9492.0,2016-07-24,ETF,GBp
CUKX.L,9484.0,2016-07-31,ETF,GBp
CUKX.L,9653.5,2016-08-07,ETF,GBp
CUKX.L,9920.5,2016-08-14,ETF,GBp
CUKX.L,9736.0,2016-08-21,ETF,GBp
CUKX.L,9838.0,2016-09-04,ETF,GBp
CUKX.L,9580.5,2016-09-11,ETF,GBp
CUKX.L,9748.5,2016-09-18,ETF,GBp
CUKX.L,9765.0,2016-09-25,ETF,GBp
CUKX.L,10002.0,2016-10-02,ETF,GBp
CUKX.L,10154.5,2016-10-09,ETF,GBp
CUKX.L,9923.5,2016-10-16,ETF,GBp
CUKX.L,10021.5,2016-10-23,ETF,GBp
CUKX.L,10626.5,2017-03-26,ETF,GBp
CUKX.L,10653.0,2017-04-02,ETF,GBp
CUKX.L,10755.0,2017-04-09,ETF,GBp
CUKX.L,10624.5,2017-04-23,ETF,GBp
CUKX.L,10666.5,2017-05-07,ETF,GBp
CUKX.L,10924.5,2017-05-14,ETF,GBp
CUKX.L,11017.0,2017-05-21,ETF,GBp
CUKX.L,11089.0,2017-06-04,ETF,GBp
CUKX.L,11085.5,2017-06-11,ETF,GBp
CUKX.L,11117.0,2017-06-18,ETF,GBp
CUKX.L,10982.5,2017-06-25,ETF,GBp
CUKX.L,10863.5,2017-07-02,ETF,GBp
CUKX.L,10854.5,2017-07-09,ETF,GBp
CUKX.L,10909.5,2017-07-16,ETF,GBp
CUKX.L,10840.0,2017-07-23,ETF,GBp
CUKX.L,10865.0,2017-07-30,ETF,GBp
CUKX.L,11106.5,2017-08-06,ETF,GBp
CUKX.L,10913.5,2017-08-13,ETF,GBp
CUKX.L,10861.5,2017-08-20,ETF,GBp
CUKX.L,11010.0,2017-09-03,ETF,GBp
CUKX.L,11003.5,2017-09-10,ETF,GBp
CUKX.L,10779.5,2017-09-17,ETF,GBp
CUKX.L,10856.0,2017-09-24,ETF,GBp
CUKX.L,11042.0,2017-10-01,ETF,GBp
CUKX.L,11152.0,2017-10-08,ETF,GBp
CUKX.L,11221.5,2017-10-15,ETF,GBp
CUKX.L,11205.0,2017-10-22,ETF,GBp
