Ticker,Old Price,Date,Type,Original Currency,FX Ticker,FX Rate
GCG25.CMX,2068.10009765625,2023-08-25,FUTURE,USD,GBP=X,
GCG25.CMX,2094.699951171875,2023-09-01,FUTURE,USD,GBP=X,
GCG25.CMX,2071.800048828125,2023-09-08,FUTURE,USD,GBP=X,
GCG25.CMX,2078.5,2023-09-15,FUTURE,USD,GBP=X,
GCG25.CMX,2078.89990234375,2023-09-22,FUTURE,USD,GBP=X,
GCG25.CMX,1995.0,2023-09-29,FUTURE,USD,GBP=X,
GCG25.CMX,1972.699951171875,2023-10-06,FUTURE,USD,GBP=X,
GCG25.CMX,2071.5,2023-10-13,FUTURE,USD,GBP=X,
GCG25.CMX,2128.39990234375,2023-10-20,FUTURE,USD,GBP=X,
GCG25.CMX,2132.199951171875,2023-10-27,FUTURE,USD,GBP=X,
GCG25.CMX,2429.699951171875,2024-04-05,FUTURE,USD,GBP=X,
GCG25.CMX,2463.0,2024-04-12,FUTURE,USD,GBP=X,
GCG25.CMX,2503.39990234375,2024-04-19,FUTURE,USD,GBP=X,
GCG25.CMX,2436.300048828125,2024-04-26,FUTURE,USD,GBP=X,
GCG25.CMX,2397.0,2024-05-03,FUTURE,USD,GBP=X,
GCG25.CMX,2466.39990234375,2024-05-10,FUTURE,USD,GBP=X,
GCG25.CMX,2509.60009765625,2024-05-17,FUTURE,USD,GBP=X,
GCG25.CMX,2426.10009765625,2024-05-24,FUTURE,USD,GBP=X,
GCG25.CMX,2415.10009765625,2024-05-31,FUTURE,USD,GBP=X,
GCG25.CMX,2393.0,2024-06-07,FUTURE,USD,GBP=X,
GCG25.CMX,2416.699951171875,2024-06-14,FUTURE,USD,GBP=X,
GCG25.CMX,2399.0,2024-06-21,FUTURE,USD,GBP=X,
GCG25.CMX,2408.39990234375,2024-06-28,FUTURE,USD,GBP=X,
GCG25.CMX,2468.199951171875,2024-07-05,FUTURE,USD,GBP=X,
GCG25.CMX,2492.0,2024-07-12,FUTURE,USD,GBP=X,
GCG25.CMX,2470.199951171875,2024-07-19,FUTURE,USD,GBP=X,
GCG25.CMX,2450.699951171875,2024-07-26,FUTURE,USD,GBP=X,
GCG25.CMX,2491.10009765625,2024-08-02,FUTURE,USD,GBP=X,
GCG25.CMX,2495.300048828125,2024-08-09,FUTURE,USD,GBP=X,
GCG25.CMX,2560.300048828125,2024-08-16,FUTURE,USD,GBP=X,
GCG25.CMX,2568.60009765625,2024-08-23,FUTURE,USD,GBP=X,
GCG25.CMX,2549.800048828125,2024-08-30,FUTURE,USD,GBP=X,
GCG25.CMX,2546.0,2024-09-06,FUTURE,USD,GBP=X,
GCG25.CMX,2632.89990234375,2024-09-13,FUTURE,USD,GBP=X,
GCG25.CMX,2668.199951171875,2024-09-20,FUTURE,USD,GBP=X,
GCG25.CMX,2689.89990234375,2024-09-27,FUTURE,USD,GBP=X,
GCG25.CMX,2690.699951171875,2024-10-04,FUTURE,USD,GBP=X,
GCG25.CMX,2699.699951171875,2024-10-11,FUTURE,USD,GBP=X,
GCG25.CMX,2754.300048828125,2024-10-18,FUTURE,USD,GBP=X,
GCG25.CMX,2779.10009765625,2024-10-25,FUTURE,USD,GBP=X,
IUIT.L,6.599999904632568,2017-07-10,ETF,USD,GBP=X,
IUIT.L,7.730000019073486,2017-11-16,ETF,USD,GBP=X,
IUIT.L,9.255000114440918,2019-05-21,ETF,USD,GBP=X,
^OEX,557.4299926757812,2005-04-01,INDEX,USD,GBP=X,
^OEX,562.1799926757812,2005-04-08,INDEX,USD,GBP=X,
^OEX,547.25,2005-04-15,INDEX,USD,GBP=X,
^OEX,551.4000244140625,2005-04-22,INDEX,USD,GBP=X,
^OEX,552.739990234375,2005-04-29,INDEX,USD,GBP=X,
^OEX,558.2000122070312,2005-05-06,INDEX,USD,GBP=X,
^OEX,550.1199951171875,2005-05-13,INDEX,USD,GBP=X,
^OEX,565.5700073242188,2005-05-20,INDEX,USD,GBP=X,
